# polyfill-connectors commit map (incremental pass 2)
#
# Generated by: git filter-repo --path packages/polyfill-connectors/ --tag-rename '':'polyfill-connectors-incremental-' --force
# Source repo:  PDP-Connect/pdpp (local clone: /home/tnunamak/.tmp/p11-0827/pdpp-filter-src-0827,
#               fresh clone of origin/main; the filter was run against a SEPARATE copy at
#               /home/tnunamak/.tmp/p11-0827/pdpp-filtered-incremental so the source clone
#               was never mutated)
# Source ref:   origin/main, commit c0357945b2f6925f84a4f6c1b23491890f72ee4b
# Extracted:    packages/polyfill-connectors/ (full history, re-filtered from repo inception --
#               this is a from-scratch re-run of the extraction, not a diff against the first
#               extraction's tag/map, so it naturally re-covers the original 26 surviving
#               commits from the first pass in addition to the ~163 new commits pdpp gained
#               since the 2026-08-17 fork point)
# Result:       190 commits survive on the `catchup-incremental` branch built from this filter
#               (26 pre-existing + 163 new pdpp commits touching this path since the fork point,
#               + 1 mechanical reformat commit added AFTER filtering, to convert the incoming
#               tree from pdpp's spaces convention to data-connectors' tabs/Biome convention --
#               that reformat commit is NOT part of filter-repo's own mapping below, since it
#               was authored directly on the filtered branch, not carried over from pdpp)
#
# Format: two columns, "<old-sha-in-pdpp> <new-sha-in-filtered-history>".
# A new-sha of all zeros (0000000000000000000000000000000000000000) means that source commit did
# NOT touch packages/polyfill-connectors/ and was pruned entirely -- it is NOT an error or data loss,
# it means that commit's changes were to other paths in the pdpp monorepo (correctly out of scope
# for this extraction).
# Multiple old-shas mapping to the same non-zero new-sha is also expected: filter-repo collapses
# distinct source commits that become identical after path-filtering (e.g. a commit that touched
# this path plus unrelated paths elsewhere, once the unrelated-path changes are stripped, can become
# tree-identical to a neighboring commit). This pass shows substantially more collapsing than the
# first extraction (5,833 total mapped rows for 190 surviving commits) because pdpp's history
# includes many merge commits and cross-branch integrations of connector work that resolve to the
# same filtered tree.
#
# Verification performed:
#  - `git log --follow` vs plain `git log`, both scoped to packages/polyfill-connectors/, do NOT
#    return identical counts on this pass (179 vs 187) -- UNLIKE the first extraction, where they
#    matched exactly. Investigated: every commit present in the plain log but absent from the
#    --follow log is a MERGE commit (e.g. 0f6f8150, 17140b71, 59d2d710), not a renamed file. This
#    matches a known git limitation: `--follow` is documented and designed for single-file history,
#    and its rename-detection heuristics are unreliable when applied to a directory path across
#    merge commits. No file-level rename into or within packages/polyfill-connectors/ was found in
#    the new commit range (manually cross-checked against the commit range's diffs); this discrepancy
#    is believed to be a --follow-on-directory artifact, not evidence of an untracked rename, but is
#    recorded here rather than silently asserted away.
#  - Earliest surviving commit is unchanged from the first extraction:
#    c12c3e89fc000bb36967eccf9e7dde5f5ed900e3 -> 9a73fa56741462fb81ddf0bf852e8c2a4a666c81
#    ("Initial contribution of the Personal Data Portability Protocol (PDPP)") -- history still goes
#    back to repo inception; the incremental pass added new commits at the NEWEST end of the range,
#    not the oldest.
#
old                                      new
00003a03114cf4909724a948b72bb51c80171353 0000000000000000000000000000000000000000
0006bbb67243b46bac55e6936b85a9f5363489eb 0000000000000000000000000000000000000000
00084d3654ddbb239d06448da414bd88b851d3e9 0000000000000000000000000000000000000000
00086f01546739406164ccff32627e26a25c7f2d 0000000000000000000000000000000000000000
00146a368bada5ec360eac5a08a1379dfba5a26f 0000000000000000000000000000000000000000
0036cb31c798eb197466fb235b43536149e696fa 0000000000000000000000000000000000000000
0059a3f3aef73d5d9c7be17eda87d15dc74e28be 0000000000000000000000000000000000000000
008f4b8e7c473f8dbd41daddb2f9cf980cf10814 0000000000000000000000000000000000000000
00917c71788f18965cc3126a0faf1f35d5afb3b8 16c745880d0ea1c18599cda6d6eb00b748bb1030
00a7110193fdaec06e524c2a3c667ba2ba768a33 0000000000000000000000000000000000000000
00af3dabf6173cccd745d46f7051b9cc2b904e68 0000000000000000000000000000000000000000
00af672b41c5b52bc20a15f5bb2210c740f14718 0000000000000000000000000000000000000000
00afe4e74833fbd73ae101c552e8aaf14f1c1c82 b1c481c52fd8d278d86c261889fc607157ccf402
00b0d65752b117d9a3614b488265fe6a5842da2d 9716d2fe732e16597770b642ff452c3adc916b8e
00bb258f79a5642f56e919333d3cf18e2f3eb04a 0000000000000000000000000000000000000000
00cc9332f9fdf0f5923926e8fe87af44c58fc29c 22b79b7c572bca4ef595b16eb5f0dc8ee11382b6
00cfa530dbb7faa71551cb7cb938084a0e538a21 279c36f6571e074e5b672b143b464c4c6e1cf6a1
00d9cf7dc566e44b6e2eff8bb88ab5ce377bd898 0000000000000000000000000000000000000000
00e3c2d57c02f3cbe000a4f84f2ed32b208c7277 30076747add41d4c17c612a4783bdb01e6e097b3
00f87d033a198418b2320683d66db19e36ff37a5 0000000000000000000000000000000000000000
011644378ff207dcf6f478f35902759a2740187e 9cb53299c55cb18b201d2e877b0b1e83269295ec
0130a55e2718f67e87a1f88214601c183328ebe2 0000000000000000000000000000000000000000
01335bb487337c5634bf2b6785a0678a91b23b97 0000000000000000000000000000000000000000
01373ecfcb8fbffb408ae4b94135a55be49a6784 0000000000000000000000000000000000000000
013cb59443d4aeb8fec9af25fb4412d67bbd97bb 0000000000000000000000000000000000000000
013e86141ee6640bcf0db73fc7659d3627e83eba 0000000000000000000000000000000000000000
013ef5a6ffb72b3d258d85b35e35de731f57e2ed 0000000000000000000000000000000000000000
0167f6a134720e23f5eb6aa40395ec767a4526cf 0000000000000000000000000000000000000000
016dd64d6bcecd26e0e286246fd523c3505835d4 0000000000000000000000000000000000000000
0176ea450c609b4faacf57c0509dca61bb4c1730 0000000000000000000000000000000000000000
01792f1b9676c3bde52abb57d1bd2c3129d45f27 0000000000000000000000000000000000000000
0180150097d5d5d33729eb5ecb3d2adcffe405a5 0000000000000000000000000000000000000000
